iter	MAPE
0	0.2891403698
1	0.2813357332
2	0.2727364418
3	0.2661688591
4	0.2592889992
5	0.252785209
6	0.2507818641
7	0.2450483787
8	0.2378702588
9	0.2344387176
10	0.2304646201
11	0.2252483615
12	0.2192064962
13	0.2168578384
14	0.2106388916
15	0.2061191617
16	0.2016173649
17	0.1954705005
18	0.1912398499
19	0.1863126227
20	0.183120738
21	0.1782017018
22	0.1743559066
23	0.1705259141
24	0.1659209143
25	0.1622393654
26	0.1593591928
27	0.1560097432
28	0.1518693339
29	0.1480993679
30	0.1452847293
31	0.1414506944
32	0.1401902911
33	0.1383108307
34	0.1341188704
35	0.1336697458
36	0.1318771455
37	0.129821682
38	0.1272700697
39	0.1243307253
40	0.1235630448
41	0.122838736
42	0.1196523549
43	0.1165250373
44	0.1154147222
45	0.1143940778
46	0.1125638502
47	0.1125304012
48	0.1114370005
49	0.1100902848
50	0.108196417
51	0.1077404139
52	0.106458837
53	0.1050536872
54	0.1044910156
55	0.1044384041
56	0.1033602676
57	0.1007904051
58	0.09855799625
59	0.0964186198
60	0.09629918223
61	0.09373679333
62	0.09217660875
63	0.09027699225
64	0.08912209962
65	0.08844721324
66	0.08696702972
67	0.08609090896
68	0.08446716591
69	0.08408411389
70	0.08349361462
71	0.08348141019
72	0.08343192825
73	0.08179840525
74	0.08072644989
75	0.08067774868
76	0.07981502724
77	0.07891404709
78	0.07791964986
79	0.07649861127
80	0.07576441646
81	0.07529133646
82	0.07364438995
83	0.07305654518
84	0.07267203656
85	0.07179529849
86	0.07131145401
87	0.07058048322
88	0.06941459801
89	0.06886187137
90	0.06853478944
91	0.06840698594
92	0.06809568218
93	0.06777438402
94	0.06667116952
95	0.06559435106
96	0.06421445912
97	0.0634417461
98	0.06296823567
99	0.06207845963
100	0.06152342435
101	0.06075360754
102	0.05987912476
103	0.05907750152
104	0.05870101489
105	0.05833751969
106	0.05773638009
107	0.05739338434
108	0.05693930017
109	0.05691676237
110	0.05665351279
111	0.05626652472
112	0.05626555731
113	0.05577531331
114	0.0551566971
115	0.05454164973
116	0.05373932987
117	0.05299902988
118	0.05238843291
119	0.05183747994
120	0.05101955028
121	0.05042904593
122	0.04975548116
123	0.04946904979
124	0.0492631922
125	0.04905449788
126	0.04903256267
127	0.04875149461
128	0.04871041803
129	0.04826351174
130	0.04806348129
131	0.04766706007
132	0.04711786062
133	0.04684673853
134	0.04608906448
135	0.04569436841
136	0.04533932708
137	0.0450091513
138	0.04456712935
139	0.04410244938
140	0.04401195379
141	0.04386225766
142	0.04345338637
143	0.04305305682
144	0.0425577414
145	0.04222870001
146	0.04203237054
147	0.04187260147
148	0.04154625885
149	0.04144123862
150	0.04138161614
151	0.04100151881
152	0.04095416583
153	0.04060420885
154	0.0404828679
155	0.04030793094
156	0.0400907838
157	0.03998348895
158	0.03978322754
159	0.03950708113
160	0.0393097261
161	0.03902324235
162	0.03875707363
163	0.03857331899
164	0.03840266185
165	0.03820744547
166	0.0381413783
167	0.03779208579
168	0.03747417841
169	0.03736618142
170	0.03715879131
171	0.03694411206
172	0.03655063647
173	0.03637520235
174	0.03617310542
175	0.03605501155
176	0.03593016847
177	0.03579348385
178	0.03570719753
179	0.03555658147
180	0.03539512516
181	0.0351783517
182	0.03499063892
183	0.03478021518
184	0.03472372178
185	0.03455983522
186	0.03451899804
187	0.03446899115
188	0.03437623403
189	0.03431499037
190	0.03417434058
191	0.03401235827
192	0.03396728145
193	0.03392808285
194	0.03384445432
195	0.0337158062
196	0.03361267877
197	0.03360601926
198	0.03345958179
199	0.03344406637
200	0.03330166696
201	0.03321123183
202	0.03319305691
203	0.03317412196
204	0.03305000055
205	0.03297230986
206	0.03296711082
207	0.03276515482
208	0.03273620875
209	0.03256249741
210	0.03249689282
211	0.03246457788
212	0.03238606826
213	0.03229358746
214	0.03227215755
215	0.03225593445
216	0.03222954448
217	0.03219323875
218	0.0320683391
219	0.03205822375
220	0.03198611019
221	0.03195082226
222	0.03193098227
223	0.03191237031
224	0.03186844636
225	0.0318154887
226	0.0316776778
227	0.0316512055
228	0.03163044519
229	0.03158217462
230	0.03152245032
231	0.03147870712
232	0.03145248256
233	0.0314029091
234	0.03137125381
235	0.0313542795
236	0.03132217505
237	0.03124080521
238	0.03122762184
239	0.03120637761
