iter	Passed	Remaining
0	176	352915
1	200	200056
2	219	146356
3	240	120135
4	247	98632
5	268	89073
6	273	77828
7	292	72801
8	313	69388
9	335	66711
10	350	63382
11	369	61270
12	389	59462
13	400	56826
14	419	55570
15	421	52268
16	442	51622
17	462	50887
18	481	50170
19	496	49192
20	502	47355
21	521	46914
22	543	46703
23	564	46513
24	583	46122
25	603	45832
26	621	45400
27	641	45188
28	661	44969
29	678	44569
30	700	44484
31	720	44317
32	737	43948
33	753	43550
34	768	43151
35	772	42139
36	782	41504
37	800	41353
38	820	41270
39	841	41231
40	851	40673
41	853	39807
42	871	39676
43	891	39621
44	910	39561
45	920	39086
46	940	39062
47	941	38270
48	961	38264
49	980	38250
50	1001	38277
51	1005	37665
52	1026	37726
53	1049	37819
54	1069	37804
55	1070	37148
56	1090	37163
57	1110	37177
58	1130	37206
59	1152	37255
60	1153	36678
61	1176	36778
62	1197	36815
63	1218	36849
64	1238	36881
65	1258	36880
66	1278	36889
67	1282	36424
68	1301	36431
69	1311	36168
70	1329	36126
71	1330	35630
72	1332	35167
73	1352	35202
74	1375	35308
75	1379	34928
76	1401	35003
77	1403	34584
78	1413	34370
79	1433	34402
80	1454	34452
81	1475	34504
82	1496	34568
83	1520	34681
84	1524	34343
85	1545	34390
86	1549	34075
87	1571	34144
88	1594	34244
89	1597	33904
90	1601	33596
91	1603	33257
92	1606	32946
93	1625	32949
94	1642	32943
95	1664	33008
96	1681	32994
97	1704	33081
98	1725	33128
99	1746	33192
100	1768	33255
101	1789	33297
102	1809	33334
103	1830	33377
104	1850	33401
105	1872	33455
106	1882	33306
107	1895	33213
108	1914	33222
109	1916	32936
110	1939	32999
111	1960	33041
112	1961	32751
113	1982	32792
114	2004	32849
115	2024	32878
116	2044	32898
117	2067	32971
118	2087	32991
119	2107	33012
120	2127	33034
121	2148	33066
122	2168	33093
123	2189	33127
124	2209	33141
125	2228	33140
126	2232	32917
127	2251	32925
128	2256	32732
129	2266	32607
130	2286	32621
131	2307	32648
132	2324	32630
133	2344	32647
134	2364	32665
135	2384	32677
136	2405	32706
137	2425	32727
138	2444	32734
139	2464	32736
140	2467	32531
141	2487	32551
142	2507	32564
